Introduction,Gas used,Transaction Hash,Log of Transaction,Time Duration(Sec),Transaction Fee(Gwei),Cost (USD)
case1 - Zether Noraml Transfer,51740820,,,,515832.34,1.25
alice deposit,644742,0xa0482dd93e831dbe195499955d3cb06ebf2d64db7d4c2ba776dcd97cd267164f	,https://sepolia.arbiscan.io/tx/0xa0482dd93e831dbe195499955d3cb06ebf2d64db7d4c2ba776dcd97cd267164f,1,6427.78318781726,0.02
bob deposit,637503,0xf075ded7121dd6f87b9c136831963184489fcb1b45ab1cdb8b895a9e2bcba415	,https://sepolia.arbiscan.io/tx/0xf075ded7121dd6f87b9c136831963184489fcb1b45ab1cdb8b895a9e2bcba415,1,6355.61366497462,0.02
alice privacy send to bob with annoy group size 4,11004683,0x0eac1120cc4ca99f03045c48405d2ea0c222e10e1cbceaaa34885f703e8bd693	,https://sepolia.arbiscan.io/tx/0x0eac1120cc4ca99f03045c48405d2ea0c222e10e1cbceaaa34885f703e8bd693,5,109711.66198984774,0.27
alice privacy send to bob with annoy group size 8,14435648,0x00916cce4e80dc9db3fc86d90c231be7a59d2948cd8cbbac03b53ab78583a4ac	,https://sepolia.arbiscan.io/tx/0x00916cce4e80dc9db3fc86d90c231be7a59d2948cd8cbbac03b53ab78583a4ac,9,143916.81559390866,0.35
alice privacy send to bob with annoy group size 16,20529017,0x57fc1687b3938f36bbaa030f26462a75016bd4c3a574783a64789c92de00986a	,https://sepolia.arbiscan.io/tx/0x57fc1687b3938f36bbaa030f26462a75016bd4c3a574783a64789c92de00986a,10,204664.92075126906,0.50
bob withdraw,4489227,0xee395795f3a3d610b764d2a5e0ecb39328cc47ed1ce3e776b98845bf6b8eb9fc	,https://sepolia.arbiscan.io/tx/0xee395795f3a3d610b764d2a5e0ecb39328cc47ed1ce3e776b98845bf6b8eb9fc,2,44755.54227411168,0.11
case2 - Zether With Allowlist Failure,14835521,,,,147903.37,0.36
alice deposit,557165,0xc5903cedffc72e7f6d9688a1e8fb8201bcb81385a3120cb7f89af9410f2fa200	,https://sepolia.arbiscan.io/tx/0xc5903cedffc72e7f6d9688a1e8fb8201bcb81385a3120cb7f89af9410f2fa200,1,5554.680507614214,0.01
carol deposit failure,455524,0x0463f71fbb2cbc02ceb12c5746b805d9efc93dd12f3d2445ccb8d9bed8d52069	,https://sepolia.arbiscan.io/tx/0x0463f71fbb2cbc02ceb12c5746b805d9efc93dd12f3d2445ccb8d9bed8d52069,0,4541.366172588833,0.01
alice privacy send to carol,10817486,0xd3ffdcecb899635c7c317d641e58f7d447fb71d234321d95620f5e3511bb9112	,https://sepolia.arbiscan.io/tx/0xd3ffdcecb899635c7c317d641e58f7d447fb71d234321d95620f5e3511bb9112,7,107845.39342131981,0.26
carol withdraw failure,3005346,0x8cad71b8cd21df93a9bc7ec37ed5b0ae3cc8e90f28cd4ea609a47ec44097101a	,https://sepolia.arbiscan.io/tx/0x8cad71b8cd21df93a9bc7ec37ed5b0ae3cc8e90f28cd4ea609a47ec44097101a,2,29961.926619289345,0.07
case3 - Zether With Erc20 Denylist Failure,15864811,,,,158164.92,0.38
alice deposit,557165,0x894663f810af3e84ae21cdebe5ec443c67453066e9ba8ac0fa941ce028ae0197	,https://sepolia.arbiscan.io/tx/0x894663f810af3e84ae21cdebe5ec443c67453066e9ba8ac0fa941ce028ae0197,1,5554.680507614214,0.01
alice privacy send to dave,10807277,0x0dfc9191ac7c109d58b302f7515b884bab4aa831a9d9c8bee545c3b8866dbd82	,https://sepolia.arbiscan.io/tx/0x0dfc9191ac7c109d58b302f7515b884bab4aa831a9d9c8bee545c3b8866dbd82,3,107743.61435532996,0.26
dave withdraw failure,4500369,0xc4441de0eaaa2389103c68dd249c44c40a3e02fd00eb3273bb2717c8684526cf	,https://sepolia.arbiscan.io/tx/0xc4441de0eaaa2389103c68dd249c44c40a3e02fd00eb3273bb2717c8684526cf,2,44866.622923857874,0.11
case4 - Zether Send to Other Users,43600511,,,,434677.18,1.05
alice deposit,557165,0x29aec8cebc8408e475998256e43ef763c13f7bc65221a8f649757c847412c80a	,https://sepolia.arbiscan.io/tx/0x29aec8cebc8408e475998256e43ef763c13f7bc65221a8f649757c847412c80a,1,5554.680507614214,0.01
alice privacy send to user user5,10822352,0xe235a08d427c0f1d169018aa5e960df151e0c581351473b32133d6bb2dd337ac	,https://sepolia.arbiscan.io/tx/0xe235a08d427c0f1d169018aa5e960df151e0c581351473b32133d6bb2dd337ac,10,107893.90521827413,0.26
alice privacy send to user user6,10733624,0x32af15ed6774590beb69f72016381160fa3f28bd35d3f35f0393904b25ec8fbe	,https://sepolia.arbiscan.io/tx/0x32af15ed6774590beb69f72016381160fa3f28bd35d3f35f0393904b25ec8fbe,9,107009.32759390865,0.26
alice privacy send to user user7,10739851,0xc6b76f420de650d81e9e3fa1c815e32f259c44ddd49e91a3beb0c0489eb2f7a8	,https://sepolia.arbiscan.io/tx/0xc6b76f420de650d81e9e3fa1c815e32f259c44ddd49e91a3beb0c0489eb2f7a8,9,107071.4079390863,0.26
alice privacy send to user user8,10747519,0xc576e09cdfc3b163ae0947043ee4ee39f5455594426a73f5c4a86a0f1ba66a4e	,https://sepolia.arbiscan.io/tx/0xc576e09cdfc3b163ae0947043ee4ee39f5455594426a73f5c4a86a0f1ba66a4e,9,107147.8543959391,0.26