Introduction,Gas used,Transaction Hash,Log of Transaction,Time Duration(Sec),Transaction Fee (ETH),Cost (USD)
case1 - Zether Noraml Transfer,19726229,,,,0.30400372162877853,740.01
alice deposit,243481,0xecc73abd6ed277e445ec7d5293fc948714d4ee40cff838311f0e20c901d9c77e	,https://sepolia.etherscan.io/tx/0xecc73abd6ed277e445ec7d5293fc948714d4ee40cff838311f0e20c901d9c77e,12,0.003752320331772313,9.13
bob deposit,228132,0xd647650f2ed94001b6ab2c5c116e59bcd6e87df51e45c9c749402c4511566e90	,https://sepolia.etherscan.io/tx/0xd647650f2ed94001b6ab2c5c116e59bcd6e87df51e45c9c749402c4511566e90,10,0.003515774709024036,8.56
alice privacy send to bob with annoy group size 4,4062337,0x1a4ab47b90dd40ef556e834f82c0f177d6b843922dcb280c4fec740c97f0b469	,https://sepolia.etherscan.io/tx/0x1a4ab47b90dd40ef556e834f82c0f177d6b843922dcb280c4fec740c97f0b469,35,0.062605253467872,152.40
alice privacy send to bob with annoy group size 8,5339818,0xdc11811dd4d59cea2825cce98786c666ab7092383caac9f26bedbf48f93026e5	,https://sepolia.etherscan.io/tx/0xdc11811dd4d59cea2825cce98786c666ab7092383caac9f26bedbf48f93026e5,23,0.08229269490992631,200.32
alice privacy send to bob with annoy group size 16,8309267,0x06ff58568fd5ccde0a0029dc8d496e59a7099b29896e4bfb8b6b9865e46e2e88	,https://sepolia.etherscan.io/tx/0x06ff58568fd5ccde0a0029dc8d496e59a7099b29896e4bfb8b6b9865e46e2e88,25,0.1280552959213439,311.72
bob withdraw,1543194,0xe5fe6ca4c5285e5782f236646f57f907df83247312ff1a4ad47b28d1046ad696	,https://sepolia.etherscan.io/tx/0xe5fe6ca4c5285e5782f236646f57f907df83247312ff1a4ad47b28d1046ad696,14,0.023782382288839964,57.89
case2 - Zether With Allowlist Failure,4131086,,,,0.06366475408799847,154.97
alice deposit,140555,0xd4c42dd35d6951cefbe00052f3c17ae4290bbd2d4c808741f60146a76b867d76	,https://sepolia.etherscan.io/tx/0xd4c42dd35d6951cefbe00052f3c17ae4290bbd2d4c808741f60146a76b867d76,12,0.002166113102181515,5.27
carol deposit failure,40901,0xd76acc6c534124fbb779c1e21e0007128e83e8e699cd54c3f95dfbdfa35cf692	,https://sepolia.etherscan.io/tx/0xd76acc6c534124fbb779c1e21e0007128e83e8e699cd54c3f95dfbdfa35cf692,10,0.000630331130107973,1.53
alice privacy send to carol,3890147,0xeb63c0a3c4a464ec74878d53c659913078f90bb2e53550be9ff1bcb3974376a9	,https://sepolia.etherscan.io/tx/0xeb63c0a3c4a464ec74878d53c659913078f90bb2e53550be9ff1bcb3974376a9,49,0.059951608879884134,145.94
carol withdraw failure,59483,0xb4a87478437c126e6db7a0fae0d34167759b369e035e50cfe80c8673ba58a634	,https://sepolia.etherscan.io/tx/0xb4a87478437c126e6db7a0fae0d34167759b369e035e50cfe80c8673ba58a634,19,0.000916700975824859,2.23
case3 - Zether With Erc20 Denylist Failure,5563276,,,,0.08573643793996635,208.70
alice deposit,140555,0xf65984ee58737674d2dfc335ff75d72aaff54143f847d7be5ce6aa49d0a47884	,https://sepolia.etherscan.io/tx/0xf65984ee58737674d2dfc335ff75d72aaff54143f847d7be5ce6aa49d0a47884,9,0.002166113102181515,5.27
alice privacy send to dave,3868117,0x44d7254e645bca8c338fe22173624bb366e883cb04d44b0fb1dd7a83c7aeb5b3	,https://sepolia.etherscan.io/tx/0x44d7254e645bca8c338fe22173624bb366e883cb04d44b0fb1dd7a83c7aeb5b3,31,0.05961210141560994,145.11
dave withdraw failure,1554604,0x475b1c8bb43535071ef2f3f46ca5114b85e5d01ae3b8f148f4cc5beaf8eb5a04	,https://sepolia.etherscan.io/tx/0x475b1c8bb43535071ef2f3f46ca5114b85e5d01ae3b8f148f4cc5beaf8eb5a04,3,0.02395822342217489,58.32
case4 - Zether Send to Other Users,15395189,,,,0.23725744799872459,577.54
alice deposit,140555,0x5be92f007ab0570f32a6ba3783d2bf6d4f33cb71e7ca3ddaf3b6dc43baae586d	,https://sepolia.etherscan.io/tx/0x5be92f007ab0570f32a6ba3783d2bf6d4f33cb71e7ca3ddaf3b6dc43baae586d,15,0.002166113102181515,5.27
alice privacy send to user user5,3862011,0xd49d96ce1c3d08f83fcaec523da26ee0b6696938bfecfa324a77099d927f87b8	,https://sepolia.etherscan.io/tx/0xd49d96ce1c3d08f83fcaec523da26ee0b6696938bfecfa324a77099d927f87b8,37,0.059518000980891,144.88
alice privacy send to user user6,3796036,0x36c7339b5137a7d7795dd7a3c683fdf5152435bbce3251fc3521807436e3f7a7	,https://sepolia.etherscan.io/tx/0x36c7339b5137a7d7795dd7a3c683fdf5152435bbce3251fc3521807436e3f7a7,29,0.058501250869429824,142.41
alice privacy send to user user7,3800003,0xe42bc81eeefa7b237db149bc05878199c61e32962a22aaa4a447a3a59f11a747	,https://sepolia.etherscan.io/tx/0xe42bc81eeefa7b237db149bc05878199c61e32962a22aaa4a447a3a59f11a747,25,0.05856238687082682,142.55
alice privacy send to user user8,3796584,0x0d4e28f2c8f665c3856e2eef5feee8ff3226e4b9b48365e71948aee6c76d2eaf	,https://sepolia.etherscan.io/tx/0x0d4e28f2c8f665c3856e2eef5feee8ff3226e4b9b48365e71948aee6c76d2eaf,21,0.05850969617539543,142.43
Mainnet Gas Price: 15.411142273 Gwei. ETH/USD rate: 2434.23. Time: 09/19/2024, 09:36:35 AM